[0.68623536 0.68623536 0.68623536]
[0.69970477 0.69970477 0.69970477]
[0.71295199 0.71295199 0.71295199]
[0.72597232 0.72597232 0.72597232]
[0.73876157 0.73876157 0.73876157]
[0.7513152 0.7513152 0.7513152]
[0.76362954 0.76362954 0.76362954]
[0.77570094 0.77570094 0.77570094]
[0.78752572 0.78752572 0.78752572]
[0.79910057 0.79910057 0.79910057]
[0.81042269 0.81042269 0.81042269]
[0.82148948 0.82148948 0.82148948]
[0.83229813 0.83229813 0.83229813]
[0.84284655 0.84284655 0.84284655]
[0.853133 0.853133 0.853133]
[0.86315537 0.86315537 0.86315537]
[0.87291246 0.87291246 0.87291246]
[0.88240287 0.88240287 0.88240287]
[0.89162606 0.89162606 0.89162606]
[0.90058099 0.90058099 0.90058099]
[0.90926732 0.90926732 0.90926732]
[0.91768522 0.91768522 0.91768522]
[0.92583451 0.92583451 0.92583451]
[0.93371555 0.93371555 0.93371555]
[0.94132937 0.94132937 0.94132937]
[0.94867651 0.94867651 0.94867651]
[0.95575836 0.95575836 0.95575836]
[0.96257614 0.96257614 0.96257614]
[0.96913194 0.96913194 0.96913194]
[0.97542752 0.97542752 0.97542752]
[0.98146496 0.98146496 0.98146496]
[0.98724706 0.98724706 0.98724706]
[0.99277644 0.99277644 0.99277644]
[0.99805589 0.99805589 0.99805589]
[1.00308872 1.00308872 1.00308872]
[1.0078786 1.0078786 1.0078786]
[1.0124292 1.0124292 1.0124292]
[1.01674417 1.01674417 1.01674417]
[1.02082807 1.02082807 1.02082807]
[1.02468507 1.02468507 1.02468507]
[1.0283199 1.0283199 1.0283199]
[1.03173725 1.03173725 1.03173725]
[1.03494255 1.03494255 1.03494255]
[1.03794067 1.03794067 1.03794067]
[1.04073739 1.04073739 1.04073739]
[1.0433381 1.0433381 1.0433381]
[1.0457491 1.0457491 1.0457491]
[1.04797597 1.04797597 1.04797597]
[1.05002533 1.05002533 1.05002533]
[1.05190331 1.05190331 1.05190331]
[1.0536167 1.0536167 1.0536167]
[1.05517231 1.05517231 1.05517231]
[1.05657678 1.05657678 1.05657678]
[1.05783725 1.05783725 1.05783725]
[1.05896107 1.05896107 1.05896107]
[1.05995538 1.05995538 1.05995538]
[1.06082787 1.06082787 1.06082787]
[1.06158587 1.06158587 1.06158587]
[1.06223723 1.06223723 1.06223723]
[1.06278962 1.06278962 1.06278962]
[1.06325109 1.06325109 1.06325109]
[1.06362948 1.06362948 1.06362948]
[1.06393282 1.06393282 1.06393282]
[1.06416948 1.06416948 1.06416948]
[1.06434751 1.06434751 1.06434751]
[1.06447526 1.06447526 1.06447526]
[1.06456096 1.06456096 1.06456096]
[1.0646128 1.0646128 1.0646128]
[1.06463967 1.06463967 1.06463967]
[1.06464945 1.06464945 1.06464945]
[1.06465084 1.06465084 1.06465084]
[1.06465084 1.06465084 1.06465084]
[1.06465084 1.06465084 1.06465084]
[1.06465084 1.06465084 1.06465084]
[1.06465084 1.06465084 1.06465084]
[1.06465084 1.06465084 1.06465084]
[1.06465084 1.06465084 1.06465084]
[1.06465084 1.06465084 1.06465084]
[1.06465084 1.06465084 1.06465084]
[1.06465084 1.06465084 1.06465084]
[1.06465084 1.06465084 1.06465084]
[1.06465084 1.06465084 1.06465084]
[1.06465084 1.06465084 1.06465084]
[1.06465084 1.06465084 1.06465084]
[1.06465084 1.06465084 1.06465084]
[1.06465084 1.06465084 1.06465084]
[1.06465084 1.06465084 1.06465084]
[1.06465084 1.06465084 1.06465084]
[1.06465084 1.06465084 1.06465084]
[1.06465084 1.06465084 1.06465084]
[1.06465084 1.06465084 1.06465084]
[1.06465084 1.06465084 1.06465084]
[1.06465084 1.06465084 1.06465084]
