         12873112 function calls (12478324 primitive calls) in 7.593 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.001    0.000    0.065    0.011 /Users/nico/anaconda3/lib/python3.11/site-packages/mpl_toolkits/mplot3d/axis3d.py:348(draw)
5686/5309    0.005    0.000    0.064    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/cbook/__init__.py:291(process)
        1    0.000    0.000    0.063    0.063 /Users/nico/Documents/GitHub/QSM-insects/qsm_numerical.py:459(kinematics)
        1    0.004    0.004    0.063    0.063 /Users/nico/Documents/GitHub/QSM-insects/qsm_numerical.py:296(generateSequence)
       75    0.000    0.000    0.058    0.001 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backend_bases.py:1261(_process)
     7947    0.002    0.000    0.058    0.000 {method 'clip' of 'numpy.ndarray' objects}
     7947    0.008    0.000    0.056    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/numpy/core/_methods.py:127(_clip)
      117    0.002    0.000    0.055    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axis.py:58(__init__)
       83    0.000    0.000    0.051    0.001 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axis.py:416(__init__)
   357563    0.050    0.000    0.050    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    14189    0.005    0.000    0.050    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:51(_wrapfunc)
     2292    0.009    0.000    0.049    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/interpolate/_interpolate.py:487(__init__)
       27    0.000    0.000    0.049    0.002 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/optimize/_differentiable_functions.py:249(_update_fun)
       13    0.000    0.000    0.049    0.004 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/optimize/_differentiable_functions.py:154(update_fun)
347029/347024    0.046    0.000    0.048    0.000 {built-in method builtins.sorted}
     7890    0.003    0.000    0.048    0.000 <__array_function__ internals>:177(searchsorted)
        4    0.000    0.000    0.047    0.012 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/figure.py:632(add_subplot)
        4    0.000    0.000    0.046    0.012 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/_mathtext.py:698(__init__)
        4    0.000    0.000    0.046    0.012 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axes/_base.py:574(__init__)
        4    0.022    0.006    0.046    0.011 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backends/backend_macosx.py:148(__init__)
   347328    0.045    0.000    0.045    0.000 {method 'transpose' of 'numpy.ndarray' objects}
   346716    0.043    0.000    0.043    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/numpy/core/numeric.py:1473(<listcomp>)
     7890    0.003    0.000    0.042    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:1345(searchsorted)
        6    0.000    0.000    0.041    0.007 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axes/_base.py:1388(clear)
        6    0.000    0.000    0.041    0.007 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axes/_base.py:1262(__clear)
       56    0.000    0.000    0.039    0.001 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backend_bases.py:3148(mouse_move)
        7    0.000    0.000    0.036    0.005 /Users/nico/anaconda3/lib/python3.11/site-packages/mpl_toolkits/mplot3d/axis3d.py:185(get_major_ticks)
    15894    0.017    0.000    0.036    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/numpy/core/_methods.py:93(_clip_dep_is_scalar_nan)
     7902    0.036    0.000    0.036    0.000 {method 'searchsorted' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.035    0.009 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backends/backend_macosx.py:160(_close_button_pressed)
        2    0.000    0.000    0.034    0.017 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/animation.py:1759(_draw_frame)
        2    0.000    0.000    0.034    0.017 /Users/nico/Documents/GitHub/QSM-insects/qsm_numerical.py:389(animationPlot)
   127242    0.031    0.000    0.031    0.000 {built-in method numpy.array}
        4    0.000    0.000    0.030    0.008 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/_pylab_helpers.py:44(destroy)
        4    0.030    0.007    0.030    0.008 {method 'destroy' of '_macosx.FigureManager' objects}
   694615    0.030    0.000    0.030    0.000 {built-in method _operator.index}
      909    0.001    0.000    0.029    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/markers.py:228(__init__)
       87    0.000    0.000    0.029    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axis.py:293(draw)
     7890    0.004    0.000    0.029    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/interpolate/_polyint.py:89(_prepare_x)
      380    0.003    0.000    0.028    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/lines.py:272(__init__)
       48    0.000    0.000    0.028    0.001 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axis.py:855(clear)
   299040    0.020    0.000    0.028    0.000 {built-in method builtins.isinstance}
      909    0.002    0.000    0.027    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/markers.py:327(_set_marker)
       56    0.001    0.000    0.027    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backend_bases.py:1430(__init__)
   390196    0.027    0.000    0.027    0.000 {built-in method numpy.asarray}
    27/25    0.000    0.000    0.027    0.001 /Users/nico/anaconda3/lib/python3.11/site-packages/pyparsing/core.py:1076(parse_string)
       58    0.001    0.000    0.027    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backend_bases.py:1339(__init__)
  1179/25    0.002    0.000    0.027    0.001 /Users/nico/anaconda3/lib/python3.11/site-packages/pyparsing/core.py:909(_parseCache)
  1159/25    0.001    0.000    0.026    0.001 /Users/nico/anaconda3/lib/python3.11/site-packages/pyparsing/core.py:776(_parseNoCache)
   312/25    0.000    0.000    0.026    0.001 /Users/nico/anaconda3/lib/python3.11/site-packages/pyparsing/core.py:3861(parseImpl)
       12    0.000    0.000    0.026    0.002 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/figure.py:1617(gca)
        2    0.000    0.000    0.026    0.013 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/_mathtext.py:379(__init__)
      222    0.001    0.000    0.026    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/text.py:738(draw)
     1920    0.006    0.000    0.026    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/artist.py:1180(_update_props)
       81    0.000    0.000    0.025    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axis.py:1565(_copy_tick_props)
       56    0.024    0.000    0.024    0.000 {method 'set_message' of '_macosx.NavigationToolbar2' objects}
    55/48    0.000    0.000    0.024    0.001 /Users/nico/anaconda3/lib/python3.11/site-packages/pyparsing/core.py:4889(parseImpl)
     7890    0.010    0.000    0.024    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/_lib/_util.py:206(_asarray_validated)
    69/48    0.000    0.000    0.024    0.001 /Users/nico/anaconda3/lib/python3.11/site-packages/pyparsing/core.py:4779(parseImpl)
      250    0.000    0.000    0.024    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/lines.py:1335(update_from)
        2    0.000    0.000    0.023    0.012 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/_mathtext.py:1981(parse)
       58    0.000    0.000    0.023    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backend_bases.py:1994(inaxes)
     44/8    0.000    0.000    0.023    0.003 /Users/nico/anaconda3/lib/python3.11/site-packages/pyparsing/core.py:287(wrapper)
        2    0.000    0.000    0.023    0.011 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/_mathtext.py:2018(math_string)
   346716    0.023    0.000    0.023    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/numpy/core/numeric.py:1407(_moveaxis_dispatcher)
        5    0.000    0.000    0.023    0.005 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axes/_base.py:2937(_update_title_position)
     1621    0.000    0.000    0.022    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/artist.py:1216(_internal_update)
    36/30    0.000    0.000    0.022    0.001 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axis.py:583(__get__)
       58    0.000    0.000    0.022    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backend_bases.py:2009(<listcomp>)
       58    0.000    0.000    0.022    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/patches.py:158(contains_point)
     1153    0.001    0.000    0.022    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/artist.py:147(<lambda>)
   246/33    0.000    0.000    0.021    0.001 /Users/nico/anaconda3/lib/python3.11/site-packages/pyparsing/core.py:4373(parseImpl)
15574/250    0.010    0.000    0.021    0.000 /Users/nico/anaconda3/lib/python3.11/copy.py:128(deepcopy)
    76/10    0.000    0.000    0.021    0.002 /Users/nico/anaconda3/lib/python3.11/site-packages/pyparsing/core.py:4108(parseImpl)
     1153    0.001    0.000    0.021    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/artist.py:1227(set)
     1020    0.003    0.000    0.021    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/optimize/_differentialevolution.py:1471(_mutate)
 1000/250    0.002    0.000    0.021    0.000 /Users/nico/anaconda3/lib/python3.11/copy.py:227(_deepcopy_dict)
       34    0.000    0.000    0.021    0.001 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axis.py:477(__init__)
    17053    0.005    0.000    0.021    0.000 <__array_function__ internals>:177(ndim)
    208/4    0.000    0.000    0.021    0.005 /Users/nico/anaconda3/lib/python3.11/site-packages/pyparsing/core.py:5200(parseImpl)
      129    0.001    0.000    0.020    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/text.py:918(get_window_extent)
   114925    0.020    0.000    0.020    0.000 {built-in method numpy.empty}
    13520    0.007    0.000    0.019    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/font_manager.py:1158(score_weight)
